iter	Passed	Remaining
0	5	5614
1	15	7781
2	16	5620
3	28	7052
4	29	5800
5	30	4996
6	49	6952
7	61	7628
8	62	6859
9	65	6504
10	67	6026
11	98	8116
12	99	7567
13	127	9013
14	150	9913
15	156	9615
16	158	9140
17	194	10631
18	196	10139
19	197	9681
20	198	9246
21	199	8883
22	205	8720
23	207	8447
24	209	8189
25	211	7916
26	212	7669
27	215	7465
28	217	7272
29	218	7052
30	230	7190
31	234	7107
32	237	6970
33	251	7151
34	253	6985
35	261	7008
36	262	6838
37	281	7135
38	282	6967
39	283	6807
40	284	6656
41	285	6510
42	286	6376
43	289	6287
44	291	6188
45	293	6077
46	296	6020
47	297	5909
48	299	5808
49	300	5705
50	301	5602
51	301	5503
52	302	5411
53	304	5328
54	305	5248
55	306	5168
56	307	5087
57	308	5009
58	309	4938
59	310	4870
60	312	4807
61	313	4744
62	314	4682
63	316	4628
64	317	4570
65	319	4516
66	320	4463
67	321	4410
68	323	4360
69	324	4310
70	326	4265
71	327	4219
72	328	4172
73	329	4127
74	331	4082
75	333	4052
76	334	4011
77	336	3977
78	338	3941
79	339	3909
80	341	3872
81	342	3835
82	344	3811
83	346	3775
84	347	3740
85	348	3704
86	350	3673
87	351	3646
88	353	3616
89	354	3588
90	356	3557
91	357	3528
92	358	3499
93	361	3480
94	362	3449
95	363	3422
96	364	3394
97	365	3368
98	367	3342
99	369	3324
100	370	3295
101	371	3268
102	372	3243
103	373	3219
104	374	3195
105	376	3176
106	377	3152
107	379	3134
108	380	3110
109	382	3090
110	383	3067
111	384	3046
112	385	3029
113	387	3008
114	388	2991
115	390	2974
116	395	2981
117	403	3015
118	404	2995
119	411	3016
120	413	3005
121	422	3037
122	426	3043
123	432	3054
124	433	3036
125	438	3038
126	439	3023
127	442	3011
128	446	3016
129	448	2998
130	450	2990
131	456	3002
132	462	3012
133	470	3042
134	472	3024
135	474	3013
136	484	3049
137	491	3071
138	493	3053
139	494	3036
140	500	3047
141	501	3030
142	507	3042
143	509	3028
144	510	3011
145	522	3057
146	543	3152
147	544	3135
148	545	3115
149	558	3165
150	565	3182
151	567	3167
152	570	3158
153	572	3143
154	574	3129
155	576	3117
156	577	3103
157	579	3088
158	583	3086
159	584	3070
160	586	3055
