unique_id,ds,LinearRegression,ElasticNet,ARDRegression,TweedieRegressor,Lasso,Ridge,HistGradientBoostingRegressor,LGBMRegressor,XGBRegressor,CatBoostRegressor
total,2026-05-21T00:00:00.000,6.278490874689088,6.490794287851982,6.263886847462249,6.432449283762584,6.514657096911942,6.286642438830094,6.377282447286673,6.398971420634122,6.248034,6.091620693222981
total,2026-05-28T00:00:00.000,6.130455058098632,6.4850779986836224,6.2024292664816265,6.416888529640088,6.509316600012243,6.15187948291532,6.271225019268403,6.265804497132025,5.976366,6.019178003774096
total,2026-06-04T00:00:00.000,6.202228986549721,6.479361709515262,6.2676999608517825,6.425284727536404,6.503976103112543,6.214859814455961,6.271225019268403,6.265804497132025,6.1264873,6.041557913130746
total,2026-06-11T00:00:00.000,6.220405639441185,6.473645420346902,6.315480595989252,6.427844549415744,6.498635606212844,6.240548692327714,6.271225019268403,6.265804497132025,6.2590814,6.057812125973615
total,2026-06-18T00:00:00.000,6.218963863045331,6.473645420346902,6.331630502498564,6.431159754224613,6.498635606212844,6.2344287516786165,6.271225019268403,6.265804497132025,6.2209954,6.055713025631416
total,2026-06-25T00:00:00.000,6.284368791697656,6.473645420346902,6.40025652031826,6.437675157252671,6.498635606212844,6.296664307738566,6.271225019268403,6.265804497132025,6.2590814,6.061443188408165
total,2026-07-02T00:00:00.000,6.259005156792301,6.473645420346902,6.400068924603372,6.433610667538115,6.498635606212844,6.272163873972654,6.271225019268403,6.265804497132025,6.263925,6.057812125973615
total,2026-07-09T00:00:00.000,6.212330975521419,6.473645420346902,6.373369141774061,6.429429458803909,6.498635606212844,6.23074241093406,6.271225019268403,6.265804497132025,6.191695,6.038582444852843
total,2026-07-16T00:00:00.000,6.109381109581547,6.473645420346902,6.296368179688352,6.421854729796618,6.498635606212844,6.140884217931959,6.271225019268403,6.265804497132025,5.9354563,6.056306750078716
total,2026-07-23T00:00:00.000,6.18452741774161,6.473645420346902,6.347530101468605,6.432705198832443,6.498635606212844,6.21123807426297,6.271225019268403,6.265804497132025,6.2209954,6.057812125973615
total,2026-07-30T00:00:00.000,6.142006780821741,6.473645420346902,6.315336346178157,6.427098278801186,6.498635606212844,6.170227765746444,6.271225019268403,6.265804497132025,6.191695,6.008855116407128
total,2026-08-06T00:00:00.000,6.015309591208525,6.473645420346902,6.204561226965998,6.415065679192146,6.498635606212844,6.054107931234356,6.271225019268403,6.265804497132025,5.9354563,6.056306750078716
total,2026-08-13T00:00:00.000,6.082895936872118,6.473645420346902,6.241034180832375,6.426302094714661,6.498635606212844,6.120458830305499,6.271225019268403,6.265804497132025,6.2346244,6.000945598359306
total,2026-08-20T00:00:00.000,6.077687583759101,6.473645420346902,6.231599200507928,6.424890153481614,6.498635606212844,6.112838659191808,6.271225019268403,6.265804497132025,5.9354563,6.000945598359306
total,2026-08-27T00:00:00.000,6.075435605380853,6.473645420346902,6.218920242238571,6.423366684846708,6.498635606212844,6.107746620352311,6.271225019268403,6.265804497132025,5.9354563,6.052566385783671
total,2026-09-03T00:00:00.000,6.114080292608349,6.473645420346902,6.245164900737233,6.4274110581357995,6.498635606212844,6.14418668983471,6.271225019268403,6.265804497132025,6.2346244,6.016006215417252
total,2026-09-10T00:00:00.000,6.105295677247905,6.473645420346902,6.238810522939927,6.425453668199206,6.498635606212844,6.134534947601479,6.271225019268403,6.265804497132025,5.9354563,6.000945598359306
total,2026-09-17T00:00:00.000,6.104677176471756,6.473645420346902,6.237196639734252,6.425215274114387,6.498635606212844,6.1341523173820915,6.271225019268403,6.265804497132025,5.978386,6.000945598359306
