unique_id,ds,BiTCN,NHITS
total,2026-05-17T00:00:00.000000,5.6786184,5.7990327
total,2026-05-24T00:00:00.000000,6.030693,5.6979485
total,2026-05-31T00:00:00.000000,5.917598,5.6369724
total,2026-06-07T00:00:00.000000,5.966113,5.7229395
total,2026-06-14T00:00:00.000000,5.976417,5.754123
total,2026-06-21T00:00:00.000000,5.9304156,5.748235
total,2026-06-28T00:00:00.000000,5.7917747,5.6271777
total,2026-07-05T00:00:00.000000,5.92574,5.641634
total,2026-07-12T00:00:00.000000,5.729812,5.6644707
total,2026-07-19T00:00:00.000000,5.55231,5.5452695
total,2026-07-26T00:00:00.000000,6.0739517,5.5140357
total,2026-08-02T00:00:00.000000,5.9242015,5.4932575
total,2026-08-09T00:00:00.000000,5.8233404,5.5114865
total,2026-08-16T00:00:00.000000,5.816049,5.5597
total,2026-08-23T00:00:00.000000,5.814548,5.524549
total,2026-08-30T00:00:00.000000,5.82196,5.5269995
total,2026-09-06T00:00:00.000000,5.8842793,5.478326
total,2026-09-13T00:00:00.000000,5.895061,5.4738297
total,2026-09-20T00:00:00.000000,5.851342,5.4156003
total,2026-09-27T00:00:00.000000,5.8486905,5.3798842
total,2026-10-04T00:00:00.000000,5.8757453,5.470765
total,2026-10-11T00:00:00.000000,5.9492865,5.5059676
total,2026-10-18T00:00:00.000000,5.798641,5.508196
total,2026-10-25T00:00:00.000000,5.951749,5.5213246
total,2026-11-01T00:00:00.000000,5.913019,5.540141
total,2026-11-08T00:00:00.000000,5.9265447,5.587268
total,2026-11-15T00:00:00.000000,5.864203,5.584885
total,2026-11-22T00:00:00.000000,5.709365,5.5763555
total,2026-11-29T00:00:00.000000,5.784234,5.563064
total,2026-12-06T00:00:00.000000,5.878172,5.527854
total,2026-12-13T00:00:00.000000,5.851313,5.5391874
total,2026-12-20T00:00:00.000000,5.9776692,5.572565
total,2026-12-27T00:00:00.000000,5.946386,5.521569
total,2027-01-03T00:00:00.000000,6.0617166,5.597402
total,2027-01-10T00:00:00.000000,6.190426,5.603095
total,2027-01-17T00:00:00.000000,6.1387744,5.6101527
total,2027-01-24T00:00:00.000000,5.943188,5.6512394
total,2027-01-31T00:00:00.000000,5.9241014,5.6801696
total,2027-02-07T00:00:00.000000,5.9108706,5.6986985
total,2027-02-14T00:00:00.000000,5.826301,5.6973004
total,2027-02-21T00:00:00.000000,5.625532,5.689657
total,2027-02-28T00:00:00.000000,5.7899323,5.631487
total,2027-03-07T00:00:00.000000,5.7567296,5.6126156
total,2027-03-14T00:00:00.000000,5.808591,5.599333
total,2027-03-21T00:00:00.000000,5.7983103,5.579003
total,2027-03-28T00:00:00.000000,5.7709985,5.636916
total,2027-04-04T00:00:00.000000,5.77146,5.6571536
total,2027-04-11T00:00:00.000000,5.811085,5.670251
total,2027-04-18T00:00:00.000000,5.6633487,5.727231
total,2027-04-25T00:00:00.000000,5.747854,5.8082423
total,2027-05-02T00:00:00.000000,5.676396,5.8365717
total,2027-05-09T00:00:00.000000,5.591059,5.831605
total,2027-05-16T00:00:00.000000,5.621016,5.8359146
total,2027-05-23T00:00:00.000000,5.6515074,5.7130404
total,2027-05-30T00:00:00.000000,5.642131,5.6481614
total,2027-06-06T00:00:00.000000,5.655965,5.5992093
total,2027-06-13T00:00:00.000000,5.650661,5.5233445
total,2027-06-20T00:00:00.000000,5.6247606,5.5827355
total,2027-06-27T00:00:00.000000,5.691153,5.6076527
total,2027-07-04T00:00:00.000000,5.709187,5.643424
total,2027-07-11T00:00:00.000000,5.6579638,5.6582303
total,2027-07-18T00:00:00.000000,5.6629715,5.70588
total,2027-07-25T00:00:00.000000,5.6162777,5.720628
total,2027-08-01T00:00:00.000000,5.519841,5.7069497
total,2027-08-08T00:00:00.000000,5.5858192,5.6999564
total,2027-08-15T00:00:00.000000,5.614297,5.6136003
total,2027-08-22T00:00:00.000000,5.579399,5.570576
total,2027-08-29T00:00:00.000000,5.6043425,5.588454
total,2027-09-05T00:00:00.000000,5.623083,5.56998
total,2027-09-12T00:00:00.000000,5.6253633,5.6620703
total,2027-09-19T00:00:00.000000,5.6141143,5.6805544
total,2027-09-26T00:00:00.000000,5.640759,5.709266
total,2027-10-03T00:00:00.000000,5.615907,5.754647
total,2027-10-10T00:00:00.000000,5.604946,5.7833395
total,2027-10-17T00:00:00.000000,5.590403,5.794663
total,2027-10-24T00:00:00.000000,5.5193944,5.784501
total,2027-10-31T00:00:00.000000,5.6115985,5.768232
total,2027-11-07T00:00:00.000000,5.593371,5.6616287
total,2027-11-14T00:00:00.000000,5.619544,5.619689
total,2027-11-21T00:00:00.000000,5.608977,5.604443
total,2027-11-28T00:00:00.000000,5.5990024,5.5860553
total,2027-12-05T00:00:00.000000,5.607595,5.6889634
total,2027-12-12T00:00:00.000000,5.598352,5.711606
total,2027-12-19T00:00:00.000000,5.6089725,5.7327685
total,2027-12-26T00:00:00.000000,5.6003594,5.784565
total,2028-01-02T00:00:00.000000,5.605004,5.8381324
total,2028-01-09T00:00:00.000000,5.599723,5.86191
total,2028-01-16T00:00:00.000000,5.6110277,5.850273
total,2028-01-23T00:00:00.000000,5.6018014,5.8393397
total,2028-01-30T00:00:00.000000,5.604844,5.7106094
total,2028-02-06T00:00:00.000000,5.606837,5.6603384
total,2028-02-13T00:00:00.000000,5.6162105,5.6459627
total,2028-02-20T00:00:00.000000,5.6033306,5.5931916
total,2028-02-27T00:00:00.000000,5.6008735,5.6894007
total,2028-03-05T00:00:00.000000,5.5998936,5.707191
total,2028-03-12T00:00:00.000000,5.5973716,5.734357
total,2028-03-19T00:00:00.000000,5.603771,5.7697396
total,2028-03-26T00:00:00.000000,5.598283,5.807503
total,2028-04-02T00:00:00.000000,5.612504,5.827199
total,2028-04-09T00:00:00.000000,5.605899,5.8161817
