unique_id,ds,BiTCN,NHITS
total,2026-05-17T00:00:00.000,7.4524226,7.211608
total,2026-05-24T00:00:00.000,7.5443397,6.9857464
total,2026-05-31T00:00:00.000,7.6510377,7.0202403
total,2026-06-07T00:00:00.000,7.878987,7.0484324
total,2026-06-14T00:00:00.000,7.647017,7.0293274
total,2026-06-21T00:00:00.000,7.649395,7.020621
total,2026-06-28T00:00:00.000,7.5482416,6.9347963
total,2026-07-05T00:00:00.000,7.733807,6.857133
total,2026-07-12T00:00:00.000,7.6100855,6.7654552
total,2026-07-19T00:00:00.000,7.5543036,6.712784
total,2026-07-26T00:00:00.000,7.9698753,6.65311
total,2026-08-02T00:00:00.000,7.8278756,6.498175
total,2026-08-09T00:00:00.000,7.693687,6.2425284
total,2026-08-16T00:00:00.000,7.6884475,6.2019205
total,2026-08-23T00:00:00.000,7.789022,6.2119975
total,2026-08-30T00:00:00.000,7.822487,6.176963
total,2026-09-06T00:00:00.000,7.653711,6.091755
total,2026-09-13T00:00:00.000,7.755763,6.0302052
total,2026-09-20T00:00:00.000,7.7029457,6.0103145
total,2026-09-27T00:00:00.000,7.6915803,5.919529
total,2026-10-04T00:00:00.000,7.781787,5.8605056
total,2026-10-11T00:00:00.000,7.870138,5.836073
total,2026-10-18T00:00:00.000,7.826101,5.828138
total,2026-10-25T00:00:00.000,7.850811,5.726688
total,2026-11-01T00:00:00.000,7.749311,5.642173
total,2026-11-08T00:00:00.000,7.7879624,5.626901
total,2026-11-15T00:00:00.000,7.751059,5.624259
total,2026-11-22T00:00:00.000,7.643052,5.5599217
total,2026-11-29T00:00:00.000,7.610281,5.544242
total,2026-12-06T00:00:00.000,7.7044363,5.5373325
total,2026-12-13T00:00:00.000,7.7312374,5.531639
total,2026-12-20T00:00:00.000,7.828641,5.470263
total,2026-12-27T00:00:00.000,7.8758473,5.456945
total,2027-01-03T00:00:00.000,7.8273563,5.487441
total,2027-01-10T00:00:00.000,7.9269013,5.486987
total,2027-01-17T00:00:00.000,7.832754,5.4355326
total,2027-01-24T00:00:00.000,7.7809644,5.438217
total,2027-01-31T00:00:00.000,7.7668657,5.4809403
total,2027-02-07T00:00:00.000,7.683033,5.4856277
total,2027-02-14T00:00:00.000,7.570202,5.456771
total,2027-02-21T00:00:00.000,7.6491127,5.506579
total,2027-02-28T00:00:00.000,7.7406483,5.569413
total,2027-03-07T00:00:00.000,7.708905,5.582418
total,2027-03-14T00:00:00.000,7.7349153,5.5699487
total,2027-03-21T00:00:00.000,7.7020226,5.654701
total,2027-03-28T00:00:00.000,7.718512,5.7345047
total,2027-04-04T00:00:00.000,7.6856866,5.762074
total,2027-04-11T00:00:00.000,7.7137957,5.764712
total,2027-04-18T00:00:00.000,7.451128,5.740894
total,2027-04-25T00:00:00.000,7.608409,5.7419744
total,2027-05-02T00:00:00.000,7.6356816,5.695212
total,2027-05-09T00:00:00.000,7.582717,5.669256
total,2027-05-16T00:00:00.000,7.641425,5.592578
total,2027-05-23T00:00:00.000,7.6402726,5.6467867
total,2027-05-30T00:00:00.000,7.6473455,5.650509
total,2027-06-06T00:00:00.000,7.684736,5.664815
total,2027-06-13T00:00:00.000,7.689954,5.7398663
total,2027-06-20T00:00:00.000,7.731661,5.818727
total,2027-06-27T00:00:00.000,7.7041597,5.838378
total,2027-07-04T00:00:00.000,7.670588,5.8412104
total,2027-07-11T00:00:00.000,7.6974955,5.91559
total,2027-07-18T00:00:00.000,7.665832,5.9471416
total,2027-07-25T00:00:00.000,7.677145,5.942087
total,2027-08-01T00:00:00.000,7.5983987,5.911972
total,2027-08-08T00:00:00.000,7.624731,5.8866563
total,2027-08-15T00:00:00.000,7.681059,5.9174113
total,2027-08-22T00:00:00.000,7.639633,5.8957186
total,2027-08-29T00:00:00.000,7.66278,5.902991
total,2027-09-05T00:00:00.000,7.625785,5.8368
total,2027-09-12T00:00:00.000,7.7163763,5.904635
total,2027-09-19T00:00:00.000,7.695941,5.9102626
total,2027-09-26T00:00:00.000,7.7739267,5.9239345
total,2027-10-03T00:00:00.000,7.808144,5.97812
total,2027-10-10T00:00:00.000,7.801197,6.053439
total,2027-10-17T00:00:00.000,7.7588606,6.0873733
total,2027-10-24T00:00:00.000,7.6742744,6.089817
total,2027-10-31T00:00:00.000,7.6656175,6.1325583
total,2027-11-07T00:00:00.000,7.6741066,6.1686883
total,2027-11-14T00:00:00.000,7.6469016,6.1629057
total,2027-11-21T00:00:00.000,7.5770473,6.14215
total,2027-11-28T00:00:00.000,7.6566615,6.097999
total,2027-12-05T00:00:00.000,7.5946255,6.112836
total,2027-12-12T00:00:00.000,7.7002563,6.0887313
total,2027-12-19T00:00:00.000,7.671103,6.0886807
total,2027-12-26T00:00:00.000,7.6976504,6.066843
total,2028-01-02T00:00:00.000,7.682372,6.150599
total,2028-01-09T00:00:00.000,7.6444387,6.1696568
total,2028-01-16T00:00:00.000,7.6629815,6.1862593
total,2028-01-23T00:00:00.000,7.5239034,6.2439322
total,2028-01-30T00:00:00.000,7.606352,6.31054
total,2028-02-06T00:00:00.000,7.6204596,6.339635
total,2028-02-13T00:00:00.000,7.606318,6.3335056
total,2028-02-20T00:00:00.000,7.629018,6.355609
total,2028-02-27T00:00:00.000,7.647131,6.362885
total,2028-03-05T00:00:00.000,7.610321,6.3427887
total,2028-03-12T00:00:00.000,7.6461926,6.322775
total,2028-03-19T00:00:00.000,7.611056,6.267088
total,2028-03-26T00:00:00.000,7.626586,6.314349
total,2028-04-02T00:00:00.000,7.6426554,6.3093424
total,2028-04-09T00:00:00.000,7.6282773,6.3238215
